Avg_syn_flag,Avg_urg_flag,Avg_fin_flag,Avg_ack_flag,Avg_psh_flag,Avg_rst_flag,Avg_DNS_pkt,Avg_TCP_pkt,Avg_UDP_pkt,Avg_ICMP_pkt,Duration_window_flow,Avg_delta_time,Min_delta_time,Max_delta_time,StDev_delta_time,Avg_pkts_lenght,Min_pkts_lenght,Max_pkts_lenght,StDev_pkts_lenght,Avg_small_payload_pkt,Avg_payload,Min_payload,Max_payload,StDev_payload,Avg_DNS_over_TCP,Label
0.2,0.2,0.4,0.2,0.0,0.0,0.2,0.5,0.5,0.0,287.36290299999996,31.92921144444444,0.0003480000000006811,286.62780599999996,95.51198832473695,84.5,54.0,186.0,45.75599535701427,0.8,19.4,0.0,97.0,43.379718763495916,0.2,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.9,0.0,15.070250999999985,1.6744723333333316,0.0009299999999825559,8.284397000000013,2.7733649357507923,178.0,66.0,304.0,63.48578143525087,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.037761999999987,2.2264179999999985,0.0004000000000132786,8.902643000000012,3.160786123393748,246.5,158.0,324.0,49.14434521556541,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,50.502354000000025,5.61137266666667,2.4029990000000225,8.041218000000015,1.8981014720695268,203.1,124.0,309.0,61.999014329082506,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.9,0.0,37.43380100000002,4.159311222222224,0.0005770000000211439,18.958717999999976,6.640060144443091,152.6,64.0,294.0,92.11007907208997,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.2857142857142857,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.0,0.0,0.2,0.7,0.3,0.0,1.2229980000000182,0.13588866666666868,0.00023299999998016574,0.7808459999999968,0.2441360195096157,90.2,54.0,315.0,79.93719757131568,0.8571428571428571,37.285714285714285,0.0,261.0,98.6487274554083,0.2,1.0
0.0,0.0,0.7777777777777778,0.1111111111111111,0.0,0.1111111111111111,0.0,0.9,0.1,0.0,0.26923800000002984,0.02991533333333665,0.0031549999999924694,0.1277170000000183,0.04170107193766568,98.2,54.0,314.0,94.97812613672922,0.8888888888888888,28.88888888888889,0.0,260.0,86.66666666666667,0.0,1.0
0.2,0.2,0.4,0.2,0.0,0.0,0.0,0.5,0.5,0.0,35.131579000000045,3.9035087777777826,0.00018099999999776628,17.747735999999975,7.593849405105149,157.2,54.0,315.0,104.43158313247748,0.8,52.2,0.0,261.0,116.72274842548903,0.0,1.0
0.25,0.125,0.25,0.25,0.0,0.125,0.0,0.8,0.2,0.0,1835.212125,203.91245833333335,0.0001770000000078653,1801.2186810000003,599.0339183465252,143.9,54.0,315.0,116.3791218389278,0.75,65.125,0.0,261.0,120.58836416266941,0.0,1.0
0.25,0.0,0.375,0.25,0.0,0.125,0.0,0.8,0.2,0.0,32.75033200000007,3.6389257777777857,0.0002110000000357104,17.470330999999987,7.169160011320175,145.3,54.0,315.0,115.9914268862622,0.75,65.125,0.0,261.0,120.58836416266941,0.0,1.0
